"#","TaT","Infections_no_cti","Infections_cti_test","Infections_cti_no_test","Dead_no_cti","Dead_cti_test","Dead_cti_no_test","R0_no_cti","R0_cti_test","R0_cti_no_test","Tests_no_cti","Tests_cti_test","Tests_cti_no_test"
"1",2,7000.085,5387.9444,5992.1887,34.3926,7.6692,15.9142,2.052141775,1.474636568,1.677818741,1732.549,17639.3528,1489.9144
"2",3,7000.3694,5582.4322,6071.1079,34.4372,10.4787,18.094,2.052885442,1.544600303,1.727579861,1728.7545,16712.053,1507.2862
"3",4,6999.6554,5798.3949,6173.0439,34.3133,13.8232,20.7189,2.053232137,1.621596568,1.776887915,1725.6079,16016.6093,1528.6849
"4",5,7001.0585,6028.331,6299.1159,34.3527,17.8555,23.4345,2.052122019,1.708828256,1.831795774,1723.3154,15493.3604,1556.7912
"5",6,6999.9828,6244.7387,6440.7308,34.4126,21.9924,25.8934,2.052776257,1.797488173,1.884213166,1721.0612,14976.2372,1589.0789
"6",7,7000.8079,6425.9003,6567.3716,34.377,25.3654,28.0936,2.054130015,1.872683038,1.928096439,1719.8263,14461.5845,1616.3126
"7",8,7000.2235,6576.1466,6677.3084,34.3048,28.2923,29.7072,2.052094365,1.931050403,1.962569184,1718.5613,13930.1856,1641.9128
"8",9,6999.8788,6699.2226,6767.9439,34.3707,30.4598,31.443,2.054811126,1.973734104,1.992747628,1717.4607,13357.645,1663.079
"9",10,6999.657,6797.6401,6840.2519,34.2763,31.7713,32.0748,2.053505801,2.004916227,2.015503503,1716.9461,12689.8207,1679.3865
"10",11,6999.7335,6874.0053,6895.2472,34.3511,32.7187,33.1685,2.053006518,2.025389132,2.028821744,1715.9577,11779.5635,1692.077
